Id,frequency,recency,T,predicted_purchases,monetary_value
a5fadc51b1ae844ad9a70ad3cfa46a64,95.0,371.0,371.0,60.71837722862839,306.02348148148144
48a503edbaded96a3be27deee11967a1,46.0,363.0,371.0,28.675147183116675,202.91499999999996
9f447f9415a380ac2eeee7df49c6ee7e,23.0,163.0,166.0,23.715042470600505,96.44703703703705
5f01420f0edda6555df5ce1cc62b986c,39.0,350.0,370.0,22.16374809281035,271.1279545454546
8d2ce54737dd404d20cadf1405d46dc8,33.0,360.0,362.0,21.424865566121973,124.52941176470588
a62a17bb46864da2c6da691d838971b3,30.0,366.0,366.0,19.4318370955113,300.6728125000001
3b11478939967e896ae2619615650f97,20.0,190.0,194.0,18.97198837050279,59.626363636363614
2ad9a83ee23110d8c2f4c01600b94f20,29.0,357.0,364.0,18.50869902036194,142.6164516129032
75fda9ea22086bf3814ff8c3f53de8ca,28.0,348.0,355.0,18.174781415399135,167.98666666666665
30aa99d3357244cf38ca04eadef1473a,18.0,183.0,189.0,17.19042126088689,343.2373684210527
a719d6643a7832535de9aded2f467825,26.0,360.0,368.0,16.444873366284007,391.1464285714286
a1c8d419a97af1f7152e21c0dddfcbce,24.0,369.0,370.0,15.423088379105943,135.35538461538465
cdf642859ae8d9a1e489c3a655cba827,23.0,343.0,350.0,15.110829604054842,114.26653846153846
ed2b4332b3ca253cfbb0ffb54d3f5ae0,23.0,337.0,348.0,14.952128156198464,386.10777777777776
880474a82e33389ae7f377b2ea35bbdd,23.0,364.0,371.0,14.539901031578394,267.4388888888889
5ac5ed64cd99ed2a8403b7a927e644ef,23.0,222.0,250.0,14.475065505102092,771.4446153846153
16134915d822fe17588ae585935e1e81,22.0,356.0,362.0,14.186153916754963,199.01125
f6a4f156c817ecb376d678f2aafdc570,20.0,309.0,316.0,14.068078686320634,161.86095238095237
ca2202a96c2de6ca6b8a37a4a73fa730,7.0,12.0,20.0,13.592224056692915,655.9325000000001
742d5a52d4df7cb14246d7f390de5d8a,21.0,340.0,356.0,13.205288466756755,482.10565217391303
663b3df249f614305792ec7bf1dead30,20.0,347.0,352.0,13.191421965361002,149.5495652173913
bb5d927e9f1aefa4db1881579e055a3e,20.0,348.0,355.0,13.04520868386497,141.70047619047622
e675875db3648ab4dbbd52768296425c,12.0,145.0,152.0,12.92912306945512,193.97571428571428
61d2370d7ccfe63adf6ab388d7415dc2,19.0,340.0,342.0,12.877916833550561,193.16190476190476
2b75f007b50d6b21e1501f47dc8d632b,19.0,355.0,355.0,12.612052195322187,423.3119047619048
cd1751286a561d51655ee47246b3019d,19.0,351.0,355.0,12.500813984851723,146.4470833333333
9cb19c3fc7311aae01cf16571b528001,17.0,263.0,279.0,12.44722687797387,516.35
4f672b7c5d7a4214b08ec6906163c980,14.0,208.0,216.0,12.42332211762889,411.25466666666676
